id,company_id,bank_id,account,name
14380,7111,1,3385302200325109,"PRTA-COMMERC D O O BOSANS -D O O "" PRTA-COMMERC "" ZA TRGOVINU NA VELIKO I MALO EXPORT-IMPORT BOSA"
14381,7112,7,5550070022510174,DOO PRTA COMMERC TRGOVINA BR 2
14382,7113,16,1610350011030009,MILJKOVIĆ MERC DOO VELIKA KLADUŠA
14383,7113,28,1980011010006378,MILJKOVIĆ-MERC D.O.O.
14384,7114,14,1941070272100128,ŠIKBIBI DOO
14385,7115,17,3060620000588729,JASMIN COMERC DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU CAZIN
14386,7116,16,1610350008650017,UNIMARKET EXPORT IMPORT DOO VEL KLADUSA
14387,7116,1,3385102200021218,"UNIMARKET D O O VELIKA KL-DRU TVO SA OGRANI ENOM ODGOVORNO U "" UNIMARKET "" EXPOTR-IMPORT"
14388,7117,28,1980011010016369,ŠS-HRAST-PROIZVOD D.O.O.
14389,7118,28,1980011010011422,TORIĆ D.O.O.
14390,7118,1,3385102200161286,TORI D O O-DRU TVO SA OGRANI ENOM ODGOVORNO U TORI PROMET ROBA I USLUGA
14391,7119,6,1990440001985494,CRNOLIĆ DOO
14392,7120,16,1610350012450089,TREBUNJ DOO SANICA-KLJUČ
14393,7120,6,1990440001978122,TREBUNJ D.O.O.
14394,7121,6,1990450002463752,ĆORAGA KOMERC D.O.O.
14395,7121,1,3385102200056041,"ORAGA-COMERC D O O V KLADUŠA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" ORAGA- COMERC "" ZA TRGOVINU UGO"
14396,7122,16,1610350003600003,BILIĆ - COMPANI DOO KLJUČ
14397,7122,7,5550050002281892,BILIĆ-COMPANI DOO EXPORT-IMPORT KLJUČ
14398,7123,1,3385002200413006,SPEKTRA D O O BIHAĆ-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA PROIZVODNJUI UVOZ-IZVOZ TRGOVINU PROMET
14399,7124,16,1610350018920086,EKODRVO DOO BIHAĆ
14400,7124,14,1941031275800161,EKODRVO DOO
14401,7125,16,1610350016110093,VIBOP DOO ZA UNUTRAŠNJU I VANJSKU TRGOVINU I USLUGE BOSANSKI PETROVAC
14402,7125,1,3385002200435413,""" VIBOP "" D O O ZA UNUTRA NJU I VANJSKU TRGOVINU I USLUGE BOSANSKI PETROVAC"
14403,7126,1,3385002201022166,"DEDO - PROM D O O BIHAĆ-DRU TVO SA OGRANI ENOM ODGOVORNO U "" DEDO - PROM "" D O O BIHA"
14404,7127,16,1610350000410061,OMDA DOO BOSANSKI PETROVAC
14405,7127,6,1990450002149569,OMDA D.O.O.
